,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
139,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,3,0,207980,2020-03-17,01054,24.03.2020 00:00,0,0
140,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,207981,2020-03-19,01054,24.03.2020 00:00,0,0
141,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,207982,2020-03-21,01054,24.03.2020 00:00,0,0
142,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,2,0,207983,2020-03-17,01054,24.03.2020 00:00,0,0
143,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,207984,2020-03-19,01054,24.03.2020 00:00,0,0
144,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,207985,2020-03-20,01054,24.03.2020 00:00,0,0
145,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,207986,2020-03-21,01054,24.03.2020 00:00,0,0
146,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,207987,2020-03-22,01054,24.03.2020 00:00,0,0
147,1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,207988,2020-03-20,01054,24.03.2020 00:00,0,0
148,1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,207989,2020-03-23,01054,24.03.2020 00:00,1,0
149,1,Schleswig-Holstein,LK Ostholstein,A00-A04,M,1,0,207990,2020-03-19,01055,24.03.2020 00:00,0,0
150,1,Schleswig-Holstein,LK Ostholstein,A15-A34,M,1,0,207991,2020-03-23,01055,24.03.2020 00:00,1,0
151,1,Schleswig-Holstein,LK Ostholstein,A15-A34,W,2,0,207992,2020-03-23,01055,24.03.2020 00:00,1,0
152,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,207993,2020-03-10,01055,24.03.2020 00:00,0,0
153,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,207994,2020-03-15,01055,24.03.2020 00:00,0,0
154,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,207995,2020-03-16,01055,24.03.2020 00:00,0,0
155,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,207996,2020-03-18,01055,24.03.2020 00:00,0,0
156,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,207997,2020-03-19,01055,24.03.2020 00:00,0,0
157,1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,207998,2020-03-18,01055,24.03.2020 00:00,0,0
158,1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,207999,2020-03-19,01055,24.03.2020 00:00,0,0
159,1,Schleswig-Holstein,LK Ostholstein,A60-A79,M,1,0,208000,2020-03-21,01055,24.03.2020 00:00,0,0
160,1,Schleswig-Holstein,LK Ostholstein,A60-A79,W,1,0,208001,2020-03-19,01055,24.03.2020 00:00,0,0
161,1,Schleswig-Holstein,LK Pinneberg,A05-A14,W,1,0,208002,2020-03-13,01056,24.03.2020 00:00,0,0
162,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,208003,2020-03-14,01056,24.03.2020 00:00,0,0
163,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,208004,2020-03-17,01056,24.03.2020 00:00,0,0
164,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,208005,2020-03-18,01056,24.03.2020 00:00,0,0
165,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,208006,2020-03-19,01056,24.03.2020 00:00,0,0
166,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,208007,2020-03-20,01056,24.03.2020 00:00,0,0
167,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,208008,2020-03-21,01056,24.03.2020 00:00,0,0
168,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208009,2020-03-09,01056,24.03.2020 00:00,0,0
169,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208010,2020-03-12,01056,24.03.2020 00:00,0,0
170,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208011,2020-03-14,01056,24.03.2020 00:00,0,0
171,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208012,2020-03-17,01056,24.03.2020 00:00,0,0
172,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,2,0,208013,2020-03-19,01056,24.03.2020 00:00,0,0
173,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208014,2020-03-20,01056,24.03.2020 00:00,0,0
174,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208015,2020-03-21,01056,24.03.2020 00:00,0,0
175,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,208016,2020-03-22,01056,24.03.2020 00:00,1,0
176,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208017,2020-03-03,01056,24.03.2020 00:00,0,0
177,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208018,2020-03-11,01056,24.03.2020 00:00,0,0
178,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208019,2020-03-12,01056,24.03.2020 00:00,0,0
179,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,208020,2020-03-13,01056,24.03.2020 00:00,0,0
180,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,208021,2020-03-14,01056,24.03.2020 00:00,0,0
181,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208022,2020-03-15,01056,24.03.2020 00:00,0,0
182,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208023,2020-03-16,01056,24.03.2020 00:00,0,0
183,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,208024,2020-03-17,01056,24.03.2020 00:00,0,0
184,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,2,0,208025,2020-03-18,01056,24.03.2020 00:00,0,0
185,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,208026,2020-03-19,01056,24.03.2020 00:00,0,0
186,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,5,0,208027,2020-03-20,01056,24.03.2020 00:00,0,0
187,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,208028,2020-03-21,01056,24.03.2020 00:00,0,0
188,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,208029,2020-03-13,01056,24.03.2020 00:00,0,0
189,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,208030,2020-03-14,01056,24.03.2020 00:00,0,0
190,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,208031,2020-03-15,01056,24.03.2020 00:00,0,0
191,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,208032,2020-03-16,01056,24.03.2020 00:00,0,0
192,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,208033,2020-03-17,01056,24.03.2020 00:00,0,0
193,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,208034,2020-03-18,01056,24.03.2020 00:00,0,0
194,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,208035,2020-03-20,01056,24.03.2020 00:00,0,0
195,1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,3,0,208036,2020-03-21,01056,24.03.2020 00:00,0,0
196,1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,208037,2020-03-11,01056,24.03.2020 00:00,0,0
197,1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,208038,2020-03-20,01056,24.03.2020 00:00,0,0
198,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,208039,2020-03-06,01056,24.03.2020 00:00,0,0
199,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,208040,2020-03-10,01056,24.03.2020 00:00,0,0
200,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,208041,2020-03-11,01056,24.03.2020 00:00,0,0
201,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,2,0,208042,2020-03-17,01056,24.03.2020 00:00,0,0
202,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,208043,2020-03-18,01056,24.03.2020 00:00,0,0
203,1,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,208044,2020-03-22,01056,24.03.2020 00:00,1,0
204,1,Schleswig-Holstein,LK Pinneberg,A80+,M,1,0,208045,2020-03-21,01056,24.03.2020 00:00,0,0
205,1,Schleswig-Holstein,LK Plön,A15-A34,M,1,0,208046,2020-03-21,01057,24.03.2020 00:00,0,0
